asset_id,filename_target,category,asset_name,required_status,format_guidance,notes,final_filename,format,dimensions,status,ownership,production_notes
GG-BI-001,gg_brand_logo_primary_v001.png,brand,Primary logo lockup,REQUIRED,PNG+source,Main title brand asset,gg_brand_logo_primary_v001.png,PNG,2400x800,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-002,gg_brand_logo_stacked_v001.png,brand,Stacked logo lockup,REQUIRED,PNG+source,Portrait-friendly,gg_brand_logo_stacked_v001.png,PNG,1600x1400,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-003,gg_brand_logo_horizontal_v001.png,brand,Horizontal wordmark,REQUIRED,PNG+source,Compact header use,gg_brand_logo_horizontal_v001.png,PNG,2800x600,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-004,gg_brand_app_icon_master_v001.png,brand,App icon master,REQUIRED,PNG+source,No tiny text,gg_brand_app_icon_master_v001.png,PNG,1024x1024,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-005,gg_brand_favicon_master_v001.png,brand,Favicon/icon master,REQUIRED,PNG,Small-size readable,gg_brand_favicon_master_v001.png,PNG,512x512,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-006,gg_brand_inceptivec_gamification_lockup_v001.png,brand,Co-brand lockup,OPTIONAL,PNG+source,Small support surface,gg_brand_inceptivec_gamification_lockup_v001.png,PNG,2000x500,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-007,gg_bg_home_hero_v001.png,background,Home hero background,REQUIRED,4K PNG/JPG,Main landing/menu hero,gg_bg_home_hero_v001.png,PNG,3840x2160,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-008,gg_bg_main_menu_v001.png,background,Main menu background,REQUIRED,4K PNG/JPG,Title/menu-safe zones,gg_bg_main_menu_v001.png,PNG,3840x2160,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-009,gg_bg_pause_v001.png,background,Pause screen background,REQUIRED,4K PNG/JPG,Premium pause state,gg_bg_pause_v001.png,PNG,3840x2160,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
GG-BI-010,gg_bg_victory_v001.png,background,Victory background,REQUIRED,4K PNG/JPG,Result state,gg_bg_victory_v001.png,PNG,3840x2160,COMPLETE,Owned/original (AI-assisted),Generated and/or deterministically composed for this pack; transparent where runtime isolation is required.
