id,area,requirement,positive_proof,negative_or_hostile_proof,minimum_layers
H015-EVID-001,Evidence,"All four recovery transports are received, hash-verified and read before mutation","Exact filenames and SHA-256 values match the delivery register","Missing or altered transport fails intake closed","PROCESS"
H015-EVID-002,Evidence,"Every closure claim identifies one full exact tested SHA","Manifest, runtime, CI and evidence record the same 40-character SHA","Missing, shortened, alias or different SHA fails closure","CI,E2E"
H015-EVID-003,Evidence,"Every catalogue row maps to implementation, tests and evidence","Machine-readable traceability validates all 50 unique IDs","Missing, duplicate or manually overridden row fails audit","CI"
H015-EVID-004,Evidence,"Distinct journeys have distinct action traces and evidence","Required captures and traces exist with purpose-specific hashes","Duplicate screenshots or generic observations fail","E2E,CI"
H015-EVID-005,Evidence,"CI retains exact-SHA browser evidence and closure attestation","Downloadable artifacts contain manifest, traces, logs and checksums","Absent or unverifiable artifacts fail closure","CI"
H015-EVID-006,Evidence,"Ordinary acceptance is separated from QA diagnostics","Every test is classified and ordinary gates use ordinary interaction","Force hooks or direct state mutation cannot satisfy ordinary gates","CI,E2E"
H015-ENTRY-001,Entry,"Customer journey starts at root and Play enters the game","Real browser follows / to Play to splash to Phaser Main Menu","Direct /play navigation alone cannot pass","COMPONENT,E2E"
H015-ENTRY-002,Entry,"Approved splash image is visible for two seconds","Clock-bounded assertion proves image and duration","Missing image, premature dismissal and excessive duration fail","UNIT,COMPONENT,E2E"
H015-ENTRY-003,Entry,"Splash displays exact approved copyright and collaborator copy","Rendered text matches the governed string exactly","Misspelling, omission or unapproved substitution fails","COMPONENT,E2E"
H015-ENTRY-004,Entry,"Keyboard focus returns to a usable Main Menu action","Focused element is visible and operable after splash","Lost, hidden or body-only focus fails","COMPONENT,E2E"
H015-ENTRY-005,Entry,"Splash does not replay during ordinary internal navigation","Navigate away and back without another splash","New independent game entry remains capable of showing splash","E2E"
H015-GAME-001,Gameplay,"Pause freezes the complete simulation","Entity positions, timers, hazards and score remain unchanged while paused","Background simulation or input mutation during pause fails","UNIT,E2E"
H015-GAME-002,Gameplay,"Pause provides Resume, Restart and Main Menu for keyboard, touch and controller","Each input route performs the selected action exactly once","Hidden, duplicate or unintended action fails","COMPONENT,E2E"
H015-GAME-003,Gameplay,"Results information is readable above and unobscured by the panel","Visual and DOM/canvas assertions prove all governed result values","Overlap, clipping or absent values fail","COMPONENT,E2E"
H015-GAME-004,Gameplay,"Continue exists only when the pinned release has a next entry","Six- and seven-level releases resolve ordered next entries","No-next, gap or duplicate sequence must not offer Continue","API,UNIT,E2E"
H015-GAME-005,Gameplay,"Scores, lives and nukes persist correctly through campaign transitions","Ordinary play transition retains governed cumulative state","Restart, abort or new campaign cannot leak invalid state","UNIT,API,E2E"
H015-GAME-006,Gameplay,"Recurring asteroids and comets are visible and governed in ordinary play","Normal play proves varied direction, speed, collision, destruction and despawn","Invisible bodies, max-active breach or QA-only targeting fails","UNIT,E2E"
H015-GAME-007,Gameplay,"Levels 1 through 6 are independently configured and playable","Each level loads its pinned checksum and completes by ordinary input","Missing, duplicated fallback or hard-coded seed use fails","API,E2E"
H015-GAME-008,Gameplay,"Final campaign victory occurs only after the last pinned release entry","Ordinary completion of final entry renders victory without Continue","Premature victory or post-final Continue fails","UNIT,E2E"
H015-DES-001,Designer,"All existing CORE Levels 1 through 6 open directly in the product Designer","Authorised admin can inspect complete draft, published and release identity","Customer, anonymous or cross-owner access fails server-side","API,E2E"
H015-DES-002,Designer,"Pointer mapping is accurate at 50, 75, 100, 125 and 150 percent zoom","Real pointer drag from centre and edges saves expected canonical coordinates","Wrapper coordinates, pointer loss and out-of-bounds values fail","UNIT,COMPONENT,E2E"
H015-DES-003,Designer,"Mouse, pen and touch dragging uses pointer capture and preserves grab offset","Real browser input leaves/re-enters playfield and completes one transaction","Mouse-only handlers, centre jump or multiple undo entries fail","COMPONENT,E2E"
